price,brand,model,year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,car_age
10000000.0,Toyota,Yaris,2025,Brand New,Automatic,Hatchback,Petrol,1000,0,1
11500000.0,Honda,CRV,2012,Used,Automatic,Hatchback,Petrol,2000,231000,14
6725000.0,Suzuki,Wagon R FZ,2018,Used,Automatic,Hatchback,Hybrid,650,119077,8
10975000.0,DFSK,Glory,2021,Used,Automatic,SUV / 4x4,Petrol,1498,13972,5
18500000.0,Toyota,Yaris Ativ,2025,Brand New,Automatic,Saloon,Hybrid,1500,20,1
7350000.0,Suzuki,Wagon R FX,2023,Reconditioned,Automatic,Hatchback,Petrol,650,7659,3
12000000.0,Toyota,Taisor,2025,Brand New,Automatic,Hatchback,Hybrid,1000,0,1
13550000.0,Toyota,Raize,2024,Reconditioned,Automatic,Station wagon,Petrol,1200,3000,2
8275000.0,Toyota,Aqua,2016,Used,Automatic,Hatchback,Hybrid,1490,127770,10
11550000.0,Toyota,Yaris,2022,Reconditioned,Automatic,Hatchback,Hybrid,1500,16000,4
13675000.0,Toyota,Raize,2025,Brand New,Automatic,Unknown,Hybrid,1200,0,1
12975000.0,Toyota,CHR,2017,Used,Automatic,SUV / 4x4,Petrol,1200,185000,9
18700000.0,Honda,Vezel,2024,Brand New,Automatic,SUV / 4x4,Hybrid,1500,0,2
20400000.0,Honda,Vezel,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1500,0,1
6750000.0,Honda,Fit,2013,Used,Automatic,Hatchback,Hybrid,1300,64000,13
8200000.0,Toyota,Allion,2007,Used,Automatic,Saloon,Petrol,1500,180000,19
20500000.0,Honda,Vezel,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1500,0,1
42000000.0,Toyota,Other Model,2025,Used,Manual,SUV / 4x4,Diesel,2800,5000,1
12500000.0,Honda,City,2024,Brand New,Automatic,Hatchback,Petrol,988,106,2
34850000.0,Ford,Raptor Ranger,2025,Brand New,Automatic,SUV / 4x4,Diesel,2000,0,1
8420000.0,Nissan,Dayz,2024,Used,Automatic,Hatchback,Petrol,660,14945,2
38000000.0,BMW,740Le,2017,Used,Automatic,Saloon,Petrol,1998,70000,9
10000000.0,Toyota,Aqua,2019,Used,Automatic,Hatchback,Hybrid,1490,82000,7
13500000.0,Audi,A3,2018,Used,Automatic,Saloon,Petrol,1200,160000,8
6500000.0,Nissan,Tiida,2008,Used,Automatic,Saloon,Petrol,1500,73500,18
25000000.0,Lexus,LBX,2024,Reconditioned,Automatic,Hatchback,Hybrid,1500,3900,2
9650000.0,Honda,Vezel,2016,Used,Automatic,SUV / 4x4,Hybrid,1490,126000,10
10950000.0,Toyota,Yaris,2025,Brand New,Automatic,Hatchback,Petrol,1000,0,1
12400000.0,Kia,Other Model,2026,Brand New,Automatic,Hatchback,Petrol,990,0,0
13350000.0,Toyota,CHR,2017,Used,Automatic,SUV / 4x4,Petrol,1200,98466,9
9600000.0,Suzuki,Spacia,2023,Reconditioned,Automatic,Hatchback,Hybrid,650,10000,3
29700000.0,Honda,CRV,2025,Brand New,Automatic,SUV / 4x4,Petrol,1500,0,1
18750000.0,Toyota,Yaris,2025,Brand New,Automatic,Hatchback,Hybrid,1500,0,1
7750000.0,Honda,Civic,2012,Used,Automatic,Saloon,Petrol,1600,198000,14
29500000.0,Toyota,Hilux,2026,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,0
6400000.0,Daihatsu,Mira,2024,Reconditioned,Automatic,Hatchback,Petrol,660,1400,2
12500000.0,Mitsubishi,Montero,2003,Used,Automatic,Station wagon,Petrol,3500,198230,23
16790000.0,Toyota,Other Model,2025,Used,Automatic,Station wagon,Hybrid,1500,0,1
28500000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
10900000.0,Hyundai,Creta,2017,Used,Automatic,SUV / 4x4,Petrol,1599,37000,9
8550000.0,Daihatsu,Taft,2025,Brand New,Automatic,SUV / 4x4,Petrol,660,0,1
16000000.0,Audi,A3,2024,Import,Automatic,Hatchback,Petrol,1000,9000,2
1950000.0,Suzuki,Maruti,2015,Used,Manual,Saloon,Petrol,800,100000,11
6600000.0,Mitsubishi,eK Wagon,2025,Import,Automatic,MPV,Petrol,660,5000,1
10800000.0,Hyundai,Santa Fe,2014,Used,Automatic,Unknown,Diesel,2199,164600,12
12590000.0,Toyota,Taisor,2026,Brand New,Automatic,Station wagon,Petrol,1000,0,0
13490000.0,Nissan,Almera,2025,Brand New,Automatic,Saloon,Petrol,1000,0,1
31000000.0,Audi,Q7,2015,Used,Automatic,SUV / 4x4,Petrol,3000,71500,11
63000000.0,Mercedes Benz,E200,2026,Brand New,Tiptronic,Saloon,Petrol,2000,0,0
40000000.0,Ford,Mustang,2024,Used,Automatic,SUV / 4x4,Electric,198,19000,2
7380000.0,Suzuki,Wagon R FX,2023,Reconditioned,Automatic,Hatchback,Petrol,650,8870,3
23550000.0,Toyota,Hilux,2022,Reconditioned,Automatic,SUV / 4x4,Diesel,2800,22000,4
6850000.0,Suzuki,Wagon R FZ,2018,Used,Automatic,Hatchback,Petrol,650,84169,8
9950000.0,Toyota,Yaris,2025,Brand New,Automatic,Hatchback,Petrol,1000,0,1
7350000.0,Suzuki,Wagon R FX,2023,Reconditioned,Automatic,Hatchback,Petrol,650,7659,3
89500000.0,Porsche,Taycan,2024,Used,Automatic,Coupe/Sports,Electric,800,5000,2
9550000.0,Suzuki,Spacia,2024,Brand New,Automatic,Hatchback,Hybrid,660,0,2
