iter	Passed	Remaining
688	16340	7375
689	16362	7351
690	16382	7326
691	16405	7301
692	16426	7276
693	16448	7252
694	16469	7227
695	16489	7202
696	16510	7177
697	16532	7152
698	16554	7128
699	16575	7103
700	16596	7079
701	16618	7054
702	16640	7030
703	16662	7005
704	16685	6981
705	16709	6958
706	16733	6934
707	16756	6911
708	16778	6886
709	16801	6862
710	16834	6842
711	16869	6823
712	16894	6800
713	16919	6777
714	16943	6753
715	16965	6729
716	16987	6704
717	17009	6680
718	17030	6656
719	17051	6631
720	17072	6606
721	17093	6581
722	17114	6556
723	17135	6532
724	17156	6507
725	17179	6483
726	17206	6461
727	17227	6436
728	17249	6412
729	17270	6387
730	17290	6362
731	17311	6338
732	17337	6315
733	17359	6291
734	17379	6266
735	17402	6242
736	17422	6217
737	17443	6192
738	17466	6168
739	17487	6144
740	17507	6119
741	17528	6094
742	17552	6071
743	17577	6048
744	17601	6024
745	17624	6000
746	17646	5976
747	17670	5953
748	17694	5929
749	17716	5905
750	17741	5882
751	17767	5859
752	17791	5836
753	17815	5812
754	17838	5788
755	17862	5765
756	17886	5741
757	17911	5718
758	17938	5695
759	17966	5673
760	17989	5649
761	18012	5626
762	18036	5602
763	18060	5578
764	18082	5554
765	18102	5529
766	18122	5505
767	18149	5482
768	18179	5460
769	18202	5437
770	18225	5413
771	18249	5389
772	18276	5366
773	18300	5343
774	18322	5319
775	18346	5295
776	18371	5272
777	18399	5250
778	18426	5227
779	18449	5203
780	18471	5179
781	18494	5155
782	18515	5131
783	18538	5107
784	18559	5083
785	18581	5059
786	18603	5035
787	18625	5010
788	18646	4986
789	18667	4962
790	18688	4938
791	18710	4913
792	18729	4889
793	18750	4864
794	18770	4840
795	18793	4816
796	18871	4806
797	18916	4788
798	18937	4763
799	18957	4739
800	18980	4715
801	19003	4691
802	19030	4668
803	19056	4645
804	19077	4621
805	19098	4596
806	19119	4572
807	19139	4547
808	19160	4523
809	19182	4499
810	19204	4475
811	19230	4452
812	19253	4428
813	19274	4404
814	19295	4379
815	19317	4355
816	19342	4332
817	19366	4309
818	19388	4284
819	19409	4260
820	19429	4236
821	19451	4212
822	19476	4188
823	19500	4165
824	19521	4141
825	19550	4118
826	19572	4094
827	19594	4070
828	19615	4046
829	19638	4022
830	19662	3998
831	19684	3974
832	19704	3950
833	19724	3926
834	19745	3901
835	19767	3877
836	19788	3853
837	19809	3829
838	19830	3805
839	19851	3781
840	19870	3756
841	19892	3732
842	19912	3708
843	19933	3684
844	19955	3660
845	19976	3636
846	19996	3612
847	20016	3587
848	20039	3564
849	20064	3540
850	20097	3518
851	20120	3495
852	20142	3471
853	20163	3447
854	20186	3423
855	20207	3399
856	20227	3375
857	20251	3351
858	20271	3327
859	20294	3303
860	20316	3279
861	20342	3256
862	20370	3233
863	20399	3211
864	20424	3187
865	20444	3163
866	20465	3139
867	20488	3115
868	20510	3091
869	20532	3068
870	20557	3044
871	20583	3021
872	20605	2997
873	20625	2973
874	20648	2949
875	20670	2925
876	20691	2902
877	20712	2878
878	20732	2853
879	20753	2830
880	20775	2806
881	20796	2782
882	20816	2758
883	20837	2734
884	20858	2710
885	20877	2686
886	20898	2662
887	20918	2638
888	20938	2614
889	20960	2590
890	20982	2566
891	21003	2543
892	21026	2519
893	21047	2495
894	21068	2471
895	21090	2447
896	21112	2424
897	21136	2400
898	21166	2377
899	21192	2354
900	21214	2331
901	21243	2308
902	21265	2284
903	21288	2260
904	21309	2236
905	21331	2213
906	21350	2189
907	21371	2165
908	21392	2141
909	21414	2117
910	21435	2094
911	21458	2070
912	21482	2047
913	21510	2023
914	21530	2000
915	21552	1976
916	21575	1952
917	21596	1929
918	21620	1905
919	21643	1882
920	21665	1858
921	21685	1834
922	21707	1810
923	21729	1787
924	21750	1763
925	21771	1739
926	21792	1716
927	21815	1692
928	21835	1668
929	21856	1645
930	21877	1621
931	21899	1597
932	21921	1574
933	21943	1550
934	21963	1526
935	21985	1503
936	22006	1479
937	22029	1456
938	22050	1432
939	22071	1408
940	22092	1385
941	22114	1361
942	22135	1337
943	22156	1314
944	22177	1290
945	22200	1267
946	22230	1244
947	22265	1221
948	22287	1197
949	22308	1174
950	22329	1150
951	22351	1126
952	22372	1103
953	22394	1079
954	22416	1056
955	22438	1032
956	22459	1009
957	22483	985
958	22507	962
959	22537	939
960	22605	917
961	22701	896
962	22733	873
963	22755	849
964	22777	826
965	22800	802
966	22822	778
967	22845	755
968	22870	731
969	22890	707
970	22926	684
971	22958	661
972	23038	639
973	23084	616
974	23108	592
975	23130	568
976	23152	545
977	23176	521
978	23198	497
979	23220	473
980	23242	450
981	23265	426
982	23291	402
983	23338	379
984	23360	355
985	23382	331
986	23404	308
987	23427	284
988	23450	260
989	23471	237
990	23494	213
991	23518	189
992	23539	165
993	23560	142
994	23582	118
995	23605	94
996	23628	71
997	23649	47
998	23670	23
999	23696	0
